,ID,headline,url,publisher,date,stock
964,971,The Problems with Nitrous Oxide: CARS Exhausts $3 Billion in One Month and Everyone is Smiling :),https://www.benzinga.com/cpl/2009/8/23/problems-nitrous-oxide-cars-exhausts-3-billion-one-month-and-everyone-smiling,CPL,,A
6954,7423,2 Companies Well Positioned To Weather The Coronavirus Storm,https://www.benzinga.com/trading-ideas/long-ideas/20/04/15770947/2-companies-well-positioned-to-weather-the-coronavirus-storm,Howie Bick,,AAPL
27282,27797,Non-Farm Payrolls Preview: When The Facts Change So Will The Perception,https://www.benzinga.com/government/19/02/13083984/non-farm-payrolls-preview-when-the-facts-change-so-will-the-perception,Joseph Trevisani,,ADP
27883,28407,Unemployment Rate Drops to 9.4 Percent – Market Update,https://www.benzinga.com/11/01/761602/unemployment-rate-drops-to-9-4-percent-%E2%80%93-market-update,Quicken Loans,,ADP
32259,32802,Five Stocks To Protect Your Portfolio From A Falling Dow,https://www.benzinga.com/markets/13/06/3688732/five-stocks-to-protect-your-portfolio-from-a-falling-dow,BlueHill,,AEGR
35930,36487,A123 Systems – Can the Company Survive?,https://www.benzinga.com/trading-ideas/long-ideas/11/11/2144547/a123-systems-can-the-company-survive,Joel Morehouse,,AES
36445,37005,Healthcare Shocker,https://www.benzinga.com/general/health-care/16/08/8407895/healthcare-shocker,Monetarex,,AET
50157,50765,An Invisible Giant: The U.S. Shadow Banking System,https://www.benzinga.com/news/global/12/02/2377270/an-invisible-giant-the-u-s-shadow-banking-system,WesternESA,,AIG
50219,50827,No More Bailouts,https://www.benzinga.com/general/politics/11/10/1964046/no-more-bailouts,Rodney Ohebsion,,AIG
60821,61461,"Alaska Air Group - Ikarus Rising II, Quo Vadis?",https://www.benzinga.com/markets/13/03/3451085/alaska-air-group-ikarus-rising-ii-quo-vadis,gmaxxx,,ALK
73983,74664,Roth IRA Recharacterization 2012: Undoing a Roth Conversion,https://www.benzinga.com/general/topics/12/03/2394594/roth-ira-recharacterization-2012-undoing-a-roth-conversion,Marotta On Money,,AMT
